sgRNA	Gene	sample1_7day	sample1_21day
HGLibB_00909	ADCY2	2	0
HGLibB_31350	NDFIP1	2	0
HGLibB_16142	FAM151B	2	0
HGLibB_02381	APBB2	2	0
HGLibB_40230	RARRES1	2	0
HGLibB_23419	IP6K3	2	0
HGLibB_53278	USP35	2	0
HGLibB_53008	UPK2	4	0
HGLibB_36318	PHF20L1	2	0
HGLibB_17908	FOXP1	2	0
HGLibB_33204	OCIAD2	2	0
HGLibB_36007	PER1	2	0
HGLibB_43616	SETDB2	2	0
HGLibB_02686	ARG2	2	0
HGLibB_20602	GTSF1L	2	0
HGLibB_46674	SPN	2	0
HGLibB_06821	CA9	2	0
HGLibB_00277	ABHD4	2	0
HGLibB_39974	RABIF	1	0
HGLibB_37136	PLK1	1	0
HGLibB_40971	RGP1	2	0
HGLibB_46634	SPINK2	1	0
HGLibB_18319	GABBR2	2	0
HGLibB_46175	SOX11	2	0
HGLibB_32634	NRG2	2	0
HGLibB_19312	GLT8D1	2	0
HGLibB_49288	THEM6	2	0
HGLibB_50638	TNC	2	0
HGLibB_42000	RPRM	2	0
HGLibB_33629	OR1J1	2	0
HGLibB_41652	RNFT1	2	0
HGLibB_12852	DEFB119	2	0
HGLibB_36707	PITPNM2	2	0
HGLibB_19632	GOLPH3L	4	0
HGLibB_02713	ARHGAP17	4	0
HGLibB_20710	H1FOO	2	0
HGLibB_49489	TINAGL1	2	0
HGLibB_10814	COX19	2	0
HGLibB_29301	MKNK1	2	0
HGLibB_30914	N4BP2L1	2	0
HGLibB_00710	ACYP2	2	0
HGLibB_03455	ATF7IP2	2	0
HGLibB_48573	TBR1	2	0
HGLibB_13755	DOK4	2	0
HGLibB_17616	FLNA	2	0
HGLibB_00835	ADAMTS6	2	0
HGLibB_01238	AGPS	2	0
HGLibB_16037	FAM120B	2	0
HGLibB_54863	ZBTB8OS	2	0
HGLibB_34299	OR5M9	2	0
HGLibB_27816	MADD	6	0
HGLibB_30475	MTX3	2	0
HGLibB_35782	PDE8A	2	0
HGLibB_55451	ZNF169	2	0
HGLibB_32968	NUMB	2	0
HGLibB_14153	DUSP28	2	0
HGLibB_46938	SRM	2	0
HGLibB_35595	PCNX	2	0
HGLibB_47836	SVOP	2	0
HGLibB_13092	DHH	2	0
HGLibB_37526	POLR2E	2	0
HGLibB_20023	GPR52	2	0
HGLibB_25287	KMT2A	2	0
HGLibB_51825	TSNAXIP1	4	0
HGLibB_07375	CAV3	2	0
HGLibB_44104	SIGLECL1	2	0
HGLibB_09121	CEP250	2	0
HGLibB_54777	ZBTB22	3	0
HGLibB_19236	GLIPR1L1	2	0
HGLibB_12731	DDX54	2	0
HGLibB_57173	NonTargetingControlGuideForHuman_0145	2	0
HGLibB_15437	EREG	2	0
HGLibB_42404	RUNX1T1	2	0
HGLibB_47911	SYNDIG1	2	0
HGLibB_25791	KRTAP8-1	2	0
HGLibB_20386	GSDMD	2	0
HGLibB_46985	SRRD	2	0
HGLibB_40553	RBMXL2	2	0
HGLibB_27989	MALSU1	2	0
HGLibB_28615	MCTP2	2	0
HGLibB_08546	CDC42	2	0
HGLibB_09491	CHMP6	2	0
HGLibB_17493	FIGLA	2	0
HGLibB_15842	F2RL1	2	0
HGLibB_12700	DDX42	2	0
HGLibB_05841	C1orf233	2	0
HGLibB_32178	NNAT	2	0
HGLibB_46160	SOWAHB	2	0
HGLibB_19224	GLI2	2	0
HGLibB_03353	ASPHD2	2	0
HGLibB_51945	TSSK1B	2	0
HGLibB_40684	RDH11	2	0
HGLibB_10957	CPNE6	2	0
HGLibB_49425	TIGIT	1	0
HGLibB_08640	CDH16	2	0
HGLibB_22342	HTR2B	2	0
HGLibB_30670	MYH13	2	0
HGLibB_47398	STK11IP	2	0
HGLibB_18048	FSCN2	2	0
HGLibB_13075	DHCR7	2	0
HGLibB_36970	PLCL2	2	0
HGLibB_02664	ARFGAP3	2	0
HGLibB_24900	KIF3A	4	0
HGLibB_31459	NDUFAF7	2	0
HGLibB_20746	H2BFWT	2	0
HGLibB_42566	SAAL1	2	0
HGLibB_30838	MYOD1	2	0
HGLibB_06285	C4BPA	2	0
HGLibB_55188	ZFPM2	1	0
HGLibB_36051	PEX14	2	0
HGLibB_07624	CCDC147	2	0
HGLibB_21583	HLA-DOB	2	0
HGLibB_33667	OR1S1	2	0
HGLibB_30732	MYL7	2	0
HGLibB_09214	CES2	2	0
HGLibB_23304	INPP4A	2	0
HGLibB_48310	TAS2R13	2	0
HGLibB_41049	RGS6	2	0
HGLibB_50624	TMUB2	2	0
HGLibB_46644	SPINK6	2	0
HGLibB_03698	ATP6AP2	2	0
HGLibB_47715	SUMF2	2	0
HGLibB_29517	MN1	2	0
HGLibB_10018	CLIC3	2	0
HGLibB_40955	RGL3	2	0
HGLibB_23190	ILKAP	2	0
HGLibB_25644	KRTAP19-7	2	0
HGLibB_46358	SPANXN5	2	0
HGLibB_07543	CCDC114	2	0
HGLibB_36423	PHYHD1	2	0
HGLibB_04495	BICD2	2	0
HGLibB_56654	ZNF776	2	0
HGLibB_19643	GOPC	2	0
HGLibB_33651	OR1L6	2	0
HGLibB_08636	CDH15	2	0
HGLibB_30790	MYO1E	4	0
HGLibB_27730	LYSMD3	2	0
HGLibB_51064	TPGS2	2	0
HGLibB_33465	OR10H2	1	0
HGLibB_11108	CREG1	2	2
HGLibB_02641	AREL1	2	0
HGLibB_36040	PEX11B	2	0
HGLibB_28089	MAP1LC3C	2	0
HGLibB_46459	SPATA5	1	0
HGLibB_49356	THUMPD1	2	0
HGLibB_33668	OR1S1	2	0
HGLibB_53339	USP6	2	0
HGLibB_35114	PAQR4	2	0
HGLibB_14256	DYRK2	2	0
HGLibB_09920	CLEC12A	2	0
HGLibB_57344	NonTargetingControlGuideForHuman_0316	2	0
HGLibB_27810	MAD2L2	2	0
HGLibB_46218	SOX7	1	0
HGLibB_27919	MAGEC1	2	0
HGLibB_28374	MAT1A	2	0
HGLibB_57062	NonTargetingControlGuideForHuman_0034	2	0
HGLibB_01076	ADSSL1	2	0
HGLibB_07103	CAMSAP2	2	0
HGLibB_31203	NBPF9	2	0
HGLibB_20342	GRPEL1	2	0
HGLibB_33632	OR1J2	2	0
HGLibB_36388	PHLPP1	2	0
HGLibB_54773	ZBTB21	2	0
HGLibB_55764	ZNF33A	2	0
HGLibB_11217	CRTC1	2	0
HGLibB_37797	PPARGC1A	2	0
HGLibB_57821	NonTargetingControlGuideForHuman_0793	2	0
HGLibB_02169	ANO1	2	0
HGLibB_45026	SLC38A7	2	0
HGLibB_20626	GUCY1A3	2	0
HGLibB_24844	KIF18B	2	0
HGLibB_03614	ATP2B2	2	0
HGLibB_24907	KIF3C	1	0
HGLibB_35964	PEBP1	2	0
HGLibB_53088	UROD	2	0
HGLibB_28583	MCM8	2	0
HGLibB_42994	SCRIB	2	0
HGLibB_07565	CCDC122	2	0
HGLibB_06115	C2orf27B	2	0
HGLibB_18615	GAS1	2	0
HGLibB_18198	FXYD1	2	0
HGLibB_57863	NonTargetingControlGuideForHuman_0835	2	0
HGLibB_35427	PCDHB11	2	0
HGLibB_57392	NonTargetingControlGuideForHuman_0364	2	0
HGLibB_52965	UNC79	4	0
HGLibB_08009	CCL28	2	0
HGLibB_01301	AHNAK2	2	0
HGLibB_51083	TPM3	2	0
HGLibB_48997	TEX12	2	0
HGLibB_09907	CLDND1	2	0
HGLibB_16831	FANCI	2	0
HGLibB_25804	KRTAP9-4	1	0
HGLibB_26633	LMBR1	2	0
HGLibB_13654	DNER	2	0
HGLibB_38768	PRR22	2	0
HGLibB_21863	HOXA1	2	0
HGLibB_33050	NUS1	2	0
HGLibB_34026	OR4X2	2	0
HGLibB_41018	RGS17	2	0
HGLibB_13880	DPT	2	0
HGLibB_23828	ITPRIP	2	0
HGLibB_23359	INSL6	2	0
HGLibB_42873	SCGB2A2	2	0
HGLibB_36713	PITRM1	1	0
HGLibB_44522	SLC22A24	2	0
HGLibB_26359	LGI2	2	0
HGLibB_11012	CPT1C	2	0
HGLibB_31897	NINJ2	2	0
HGLibB_12745	DDX6	2	0
HGLibB_37464	POLE2	4	0
HGLibB_56946	ZSCAN29	2	0
HGLibB_52045	TTC31	2	0
HGLibB_48541	TBCK	2	0
HGLibB_11369	CSNK1A1	2	0
HGLibB_43998	SHISA8	2	0
HGLibB_54120	WDR81	2	0
